i	i_norm	i_tic_norm	mz	scan	rt	polarity	precmz	ms1scan	charge
3.4273596	0.030094782	0.0043198643	147.2906036376953	287	25.066029	1	457.723968505859	286	2
3.5819836	0.031452496	0.0045147534	166.33941650390625	287	25.066029	1	457.723968505859	286	2
3.7775564	0.033169772	0.0047612544	172.2393798828125	287	25.066029	1	457.723968505859	286	2
6.3876147	0.056088034	0.0080509875	177.509521484375	287	25.066029	1	457.723968505859	286	2
4.9549294	0.043507986	0.0062452224	182.23687744140625	287	25.066029	1	457.723968505859	286	2
