78.918337647	Br	HMDB02500
78.958505378	O3P	HMDB01443
79.026943031	CH5NO3	HMDB36969
79.042199165	C5H5N	HMDB00926
79.916521828	Se	HMDB01349
79.9240612	OZn	HMDB34908
79.937776297	O2Ti	HMDB36020
79.956814556	O3S	HMDB00240
79.975441508	CH4S2	HMDB40184
80.002892489	C2H5ClO	HMDB31332
80.037448138	C4H4N2	HMDB03361	HMDB34176
80.964639588	HO3S	HMDB01033
81.057849229	C5H7N	HMDB33113	HMDB33114
81.932171892	H2Se	HMDB11110
81.97246462	H2O3S	HMDB34829
82.041864814	C5H6O	HMDB13749	HMDB31597
82.053098202	C4H6N2	HMDB15344
82.07825032	C6H10	HMDB31544
82.953596573	ClO3	HMDB02036
83.048347175	C3H5N3	HMDB03929
83.073499293	C5H9N	HMDB33529	HMDB40173
83.953355478	CH2Cl2	HMDB31548
84.003370818	C4H4S	HMDB29718
84.021129372	C4H4O2	HMDB32330
84.03236276	C3H4N2O	HMDB04363
84.057514878	C5H8O	HMDB01184	HMDB12157	HMDB31512	HMDB31530	HMDB31601	HMDB31606	HMDB31607	HMDB32458	HMDB37788	HMDB40584
84.093900384	C6H12	HMDB29597	HMDB31542
84.911789341	Rb	HMDB01327
84.998619791	C3H3NS	HMDB29713
85.052763851	C4H7NO	HMDB02039
85.089149357	C5H11N	HMDB34301
86.019020882	C4H6S	HMDB33875	HMDB33922
86.036779436	C4H6O2	HMDB00549	HMDB02523	HMDB03407	HMDB10720	HMDB31209	HMDB33977	HMDB34439
86.073164942	C5H10O	HMDB06478	HMDB30124	HMDB30126	HMDB31206	HMDB31525	HMDB31526	HMDB31604	HMDB31605	HMDB33854	HMDB34235	HMDB34465	HMDB39779
86.08439833	C4H10N2	HMDB14730
86.109550448	C6H14	HMDB29600
87.032028409	C3H5NO2	HMDB03609	HMDB39426
87.068413915	C4H9NO	HMDB01080	HMDB31215	HMDB31581	HMDB33870
87.104799421	C5H13N	HMDB31659	HMDB32392
87.905614339	Sr	HMDB03642
88.016043994	C3H4O3	HMDB00243	HMDB11111	HMDB40261
88.034670946	C4H8S	HMDB31653	HMDB39807
88.0524295	C4H8O2	HMDB00039	HMDB01873	HMDB03243	HMDB30062	HMDB31217	HMDB31507	HMDB40253	HMDB40579
88.063662888	C3H8N2O	HMDB29198
88.088815006	C5H12O	HMDB06007	HMDB13036	HMDB31527	HMDB31599	HMDB33772	HMDB33777
88.100048394	C4H12N2	HMDB01414
88.905848	<chemical_formula/>	HMDB00632	HMDB01304	HMDB03403	HMDB04162	HMDB06353	HMDB13629	HMDB13667	HMDB13711	HMDB14799	HMDB15241	HMDB15435	HMDB37138	HMDB52185	HMDB58182
89.047678473	C3H7NO2	HMDB00056	HMDB00161	HMDB00271	HMDB01310	HMDB29446	HMDB31219
89.084063979	C4H11NO	HMDB32231
89.904703679	Zr	HMDB01475
89.995308552	C2H2O4	HMDB02329
90.013935504	C3H6OS	HMDB30025	HMDB31189	HMDB31636	HMDB31718	HMDB40346
90.031694058	C3H6O3	HMDB00190	HMDB00700	HMDB01051	HMDB01311	HMDB01882	HMDB29580	HMDB31232	HMDB41929
90.05032101	C4H10S	HMDB31245	HMDB31322	HMDB31666	HMDB40576
90.068079564	C4H10O2	HMDB03156	HMDB30061	HMDB31213	HMDB31320	HMDB33007
91.980624003	CH2NO2S	HMDB12916
92.002892489	C3H5ClO	HMDB34232
92.029585568	C3H8OS	HMDB30299	HMDB32425
92.039277995	C4H9Cl	HMDB41794
92.047344122	C3H8O3	HMDB00131
92.062600256	C7H8	HMDB34168
93.057849229	C6H7N	HMDB03012
93.941812743	CH3Br	HMDB31524
93.982157047	C2H3ClO2	HMDB31331
93.991091572	C2H6S2	HMDB05879	HMDB31707	HMDB32253	HMDB32428
94.008850126	C2H6O2S	HMDB04983
94.018542553	C3H7ClO	HMDB31335
94.041864814	C6H6O	HMDB00228
94.053098202	C5H6N2	HMDB33112
94.07825032	C7H10	HMDB31532	HMDB32395
94.95342	O4P	HMDB01429
95.037113787	C5H5NO	HMDB13751	HMDB36057
95.073499293	C6H9N	HMDB32973
95.951729178	O4S	HMDB01448
95.961245032	HO4P	HMDB00973
95.987885149	H4O4Si	HMDB31436
96.021129372	C5H4O2	HMDB32914
96.053492132	CH8N2O3	HMDB35592
96.057514878	C6H8O	HMDB31545	HMDB31546	HMDB32965	HMDB33182	HMDB34729	HMDB40587	HMDB40588
96.969070064	H2O4P	HMDB02105
96.983363657	H3NO3S	HMDB34830
97.052763851	C5H7NO	HMDB31339	HMDB32968	HMDB32969	HMDB32970
97.905407846	Mo	HMDB01302
97.967379242	H2O4S	HMDB32444
97.969005542	C2H4Cl2	HMDB29571
97.976895096	H3O4P	HMDB02142
98.019020882	C5H6S	HMDB33118	HMDB33119
98.036779436	C5H6O2	HMDB29609	HMDB34245
98.073164942	C6H10O	HMDB03315	HMDB30332	HMDB31196	HMDB31496	HMDB31497	HMDB31498	HMDB31563	HMDB31564	HMDB33549	HMDB33714	HMDB35239	HMDB40264	HMDB40271
99.014269855	C4H5NS	HMDB05843	HMDB29755	HMDB33116	HMDB33117	HMDB38624
99.032028409	C4H5NO2	HMDB30276
99.068413915	C5H9NO	HMDB11749	HMDB34587	HMDB40518
99.104799421	C6H13N	HMDB31404	HMDB32416
99.956336227	ClHO4	HMDB41979
100.016043994	C4H4O3	HMDB32523
100.034670946	C5H8S	HMDB33564	HMDB33565
100.0524295	C5H8O2	HMDB00509	HMDB01470	HMDB01862	HMDB02167	HMDB29599	HMDB29608	HMDB31178	HMDB31598	HMDB31602	HMDB32351	HMDB32385	HMDB32459	HMDB33840	HMDB33978	HMDB35143
100.063662888	C4H8N2O	HMDB31642	HMDB33952
100.088815006	C6H12O	HMDB00753	HMDB01318	HMDB02939	HMDB05842	HMDB05846	HMDB05994	HMDB30003	HMDB30952	HMDB31220	HMDB31502	HMDB31503	HMDB31578
100.125200512	C7H16	HMDB31447
101.029919919	C4H7NS	HMDB29555
101.047678473	C4H7NO2	HMDB29387	HMDB29615	HMDB36458
101.084063979	C5H11NO	HMDB12815
101.120449485	C6H15N	HMDB32323	HMDB32539
101.904349503	Ru	HMDB13668
102.013935504	C4H6OS	HMDB31242	HMDB31253
102.031694058	C4H6O3	HMDB00005	HMDB00060	HMDB01172	HMDB01259	HMDB02217	HMDB03381	HMDB31646
102.042927446	C3H6N2O2	HMDB14405
102.05032101	C5H10S	HMDB31529	HMDB38892	HMDB39771
102.068079564	C5H10O2	HMDB00718	HMDB00892	HMDB02176	HMDB30058	HMDB31175	HMDB31241	HMDB31247	HMDB31249	HMDB31516	HMDB32230	HMDB32263	HMDB33742	HMDB33890	HMDB34237	HMDB39799	HMDB40575	HMDB41992
102.091889011	C5H12NO	HMDB01252
102.10446507	C6H14O	HMDB12971	HMDB31326	HMDB31493	HMDB33676
102.115698458	C5H14N2	HMDB02322	HMDB03661
102.128274517	C6H16N	HMDB06509
103.026943031	C3H5NO3	HMDB02455	HMDB11602
103.038176419	C2H5N3O2	HMDB41839
103.03951909	C4H7O3	HMDB15507
103.045569983	C4H9NS	HMDB31682
103.063328537	C4H9NO2	HMDB00092	HMDB00112	HMDB00452	HMDB00650	HMDB01906	HMDB02166	HMDB02299	HMDB03911	HMDB31329	HMDB31654	HMDB38394	HMDB41945
103.099714043	C5H13NO	HMDB31259
103.110947431	C4H13N3	HMDB31413
104.010958616	C3H4O4	HMDB00691	HMDB01352	HMDB06938
104.029585568	C4H8OS	HMDB31190	HMDB31192	HMDB31857	HMDB31982	HMDB40170	HMDB41015
104.047344122	C4H8O3	HMDB00008	HMDB00011	HMDB00023	HMDB00336	HMDB00357	HMDB00442	HMDB00710	HMDB00729	HMDB31212
104.05857751	C3H8N2O2	HMDB02006
104.062600256	C8H8	HMDB34240
104.065971074	C5H12S	HMDB32457	HMDB33902	HMDB35418	HMDB36180	HMDB41010
104.107539075	C5H14NO	HMDB00097
105.042593095	C3H7NO3	HMDB00187	HMDB03406
105.053826483	C2H7N3O2	HMDB31226
105.078978601	C4H11NO2	HMDB04437
105.903483087	Pd	HMDB13670
106.008850126	C3H6O2S	HMDB31520	HMDB41604
106.02660868	C3H6O4	HMDB00139	HMDB06372	HMDB31818
106.041864814	C7H6O	HMDB06115
106.045235632	C4H10OS	HMDB31716	HMDB40185	HMDB41475
106.062994186	C4H10O3	HMDB34778
106.90509302	Ag	HMDB02659
106.986340545	C2H5NS2	HMDB39221
107.058243159	C3H9NO3	HMDB15671
107.073499293	C7H9N	HMDB29734	HMDB32244	HMDB32972	HMDB33871	HMDB41965
108.006741636	C3H8S2	HMDB31317	HMDB31631	HMDB31632	HMDB32912
108.021129372	C6H4O2	HMDB03364	HMDB12133
108.042258744	C3H8O4	HMDB34260
108.057514878	C7H8O	HMDB01858	HMDB02048	HMDB02055	HMDB03119	HMDB33895
108.068748266	C6H8N2	HMDB31849	HMDB32971	HMDB35248	HMDB35289
109.019749163	C2H7NO2S	HMDB00965
109.052763851	C6H7NO	HMDB01169	HMDB35882	HMDB40582
109.089149357	C7H11N	HMDB29722
109.96347202	C2H6Se	HMDB33212
109.969005542	C3H4Cl2	HMDB13592
109.986006194	C2H6OS2	HMDB32739
110.013457175	C3H7ClO2	HMDB31334
110.019020882	C6H6S	HMDB29726	HMDB33746
110.036779436	C6H6O2	HMDB00957	HMDB02434	HMDB31180	HMDB32037	HMDB33002	HMDB33127
110.048012824	C5H6N2O	HMDB03905	HMDB33156
110.073164942	C7H10O	HMDB29721	HMDB29728	HMDB31541	HMDB40277	HMDB40278
110.109550448	C8H14	HMDB40966
111.032028409	C5H5NO2	HMDB04230	HMDB38175
111.043261797	C4H5N3O	HMDB00630
111.068413915	C6H9NO	HMDB31163	HMDB31308	HMDB37837	HMDB37838	HMDB37858	HMDB37859	HMDB37863	HMDB39584	HMDB40148
111.079647303	C5H9N3	HMDB00870	HMDB14417
111.888592518	SSe	HMDB15106
111.928885246	O3S2	HMDB00257
111.99828544	C5H4OS	HMDB29717
112.007977867	C6H5Cl	HMDB41855
112.016043994	C5H4O3	HMDB00444	HMDB00617	HMDB32994
112.027277382	C4H4N2O2	HMDB00300
112.034670946	C6H8S	HMDB32977	HMDB32978	HMDB32979	HMDB32980	HMDB35384	HMDB35385
112.0524295	C6H8O2	HMDB01164	HMDB29581	HMDB31759	HMDB32233	HMDB33569	HMDB34247	HMDB39778	HMDB40260
112.088815006	C7H12O	HMDB31483	HMDB31486	HMDB31487	HMDB31488	HMDB31539	HMDB31540	HMDB31550	HMDB31551	HMDB32301	HMDB33667	HMDB33827	HMDB34372	HMDB40339
112.125200512	C8H16	HMDB32449
113.029919919	C5H7NS	HMDB32974	HMDB32975	HMDB32976	HMDB33867	HMDB38460	HMDB40036
113.047678473	C5H7NO2	HMDB01301	HMDB06875
113.058911861	C4H7N3O	HMDB00562
113.084063979	C6H11NO	HMDB31199	HMDB31702	HMDB37293
113.903358121	Cd	HMDB03638
113.992863891	C2HF3O2	HMDB14118
114.013935504	C5H6OS	HMDB32915	HMDB32993	HMDB36611	HMDB39798	HMDB41504
114.025168892	C4H6N2S	HMDB14901
114.031694058	C5H6O3	HMDB31859
114.042927446	C4H6N2O2	HMDB00076	HMDB03646
114.05032101	C6H10S	HMDB36491	HMDB40234
114.068079564	C6H10O2	HMDB00453	HMDB03843	HMDB10719	HMDB29487	HMDB31158	HMDB31491	HMDB31492	HMDB31501	HMDB31559	HMDB31560	HMDB31561	HMDB31562	HMDB32490	HMDB33568	HMDB39581	HMDB40328
114.079312952	C5H10N2O	HMDB00323
114.10446507	C7H14O	HMDB03671	HMDB04814	HMDB05841	HMDB31405	HMDB31429	HMDB31475	HMDB31482	HMDB31538	HMDB31549	HMDB32405	HMDB38052	HMDB40191	HMDB41320
114.140850576	C8H18	HMDB01485	HMDB31418	HMDB31583	HMDB37617
115.003444197	H6NO4P	HMDB34805
115.03951909	C5H7O3	HMDB29172
