ID	FileName	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	MaxIntensity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	ChargeIntensityCosineScore
1	190509_Ova_native_25ngul_R.mzML	44138.084364	44165.174945	20	41.3451	81.2049	39.8598	43.8361	369370	13	24	12	0.99446	0.936712
2	190509_Ova_native_25ngul_R.mzML	44301.194746	44328.285326	5	25.1517	36.3626	11.2109	25.1517	336984	13	24	12	0.958059	0.960844
3	190509_Ova_native_25ngul_R.mzML	44299.769991	44326.860571	7	43.8361	55.0471	11.211	43.8361	304812	13	24	12	0.979898	0.959218
4	190509_Ova_native_25ngul_R.mzML	44544.862639	44571.953220	13	20.1691	43.8361	23.667	22.6603	285636	13	24	12	0.984471	0.943272
5	190509_Ova_native_25ngul_R.mzML	44221.241126	44248.331707	7	42.5906	58.7837	16.1931	48.8187	155303	13	24	12	0.93721	0.950572
6	190509_Ova_native_25ngul_R.mzML	44339.491257	44366.581838	14	45.0817	68.749	23.6673	47.5729	114485	13	24	12	0.986898	0.923707
7	190509_Ova_native_25ngul_R.mzML	44544.627568	44571.718148	9	61.2749	76.2224	14.9475	61.2749	100444	13	23	11	0.990255	0.976413
8	190509_Ova_native_25ngul_R.mzML	44586.663568	44613.754149	6	67.5031	78.7137	11.2106	67.5031	64854.1	15	22	8	0.905261	0.874581
9	190509_Ova_native_25ngul_R.mzML	39808.195938	39832.276454	7	51.3101	65.0116	13.7015	60.0294	54188.7	13	20	8	0.98115	0.98748
